Education Level,Salary,Years of Experience,Age
Bachelor Degree or Equivalent,32276,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,2062,2.0,29.5
Bachelor Degree or Equivalent,44467,4.0,29.5
Master Degree or Equivalent,49655,8.0,29.5
Bachelor Degree or Equivalent,33517,4.0,29.5
Bachelor Degree or Equivalent,121655,8.0,39.5
Bachelor Degree or Equivalent,8508,0.0,21.0
Bachelor Degree or Equivalent,89222,33.0,49.5
Bachelor Degree or Equivalent,7722,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,52474,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,47613,10.0,29.5
Bachelor Degree or Equivalent,96381,2.0,29.5
Secondary Education,96381,4.0,29.5
Master Degree or Equivalent,72821,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,48190,30.0,49.5
Bachelor Degree or Equivalent,66772,30.0,59.5
Bachelor Degree or Equivalent,1010,5.0,29.5
Bachelor Degree or Equivalent,374191,25.0,49.5
Bachelor Degree or Equivalent,53545,3.0,39.5
Master Degree or Equivalent,26772,10.0,29.5
Bachelor Degree or Equivalent,99311,19.0,39.5
Master Degree or Equivalent,94898,2.0,29.5
Professional Degree,69608,2.0,29.5
Bachelor Degree or Equivalent,3636,3.0,21.0
Bachelor Degree or Equivalent,7579,4.0,29.5
Bachelor Degree or Equivalent,66414,2.0,21.0
Secondary Education,6266,1.0,21.0
Master Degree or Equivalent,83530,22.0,39.5
Professional Degree,27843,4.0,29.5
Master Degree or Equivalent,126749,18.0,39.5
Professional Degree,80317,28.0,49.5
Bachelor Degree or Equivalent,62246,20.0,49.5
Bachelor Degree or Equivalent,743,7.0,39.5
Master Degree or Equivalent,13329,4.0,29.5
Master Degree or Equivalent,48468,7.0,29.5
Master Degree or Equivalent,29000,10.0,29.5
Bachelor Degree or Equivalent,21305,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,129104,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,58899,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,8685,0.0,21.0
Bachelor Degree or Equivalent,12376,9.0,29.5
Bachelor Degree or Equivalent,84818,5.0,29.5
Master Degree or Equivalent,95705,5.0,29.5
Bachelor Degree or Equivalent,74351,14.0,39.5
Master Degree or Equivalent,60813,4.0,29.5
Master Degree or Equivalent,22344,3.0,21.0
,65443,10.0,29.5
Professional Degree,117931,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,107090,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,68276,3.0,39.5
Master Degree or Equivalent,95705,13.0,29.5
Bachelor Degree or Equivalent,24677,4.0,29.5
Professional Degree,55687,15.0,39.5
Bachelor Degree or Equivalent,16000,5.0,29.5
Bachelor Degree or Equivalent,10090,0.0,21.0
Bachelor Degree or Equivalent,46437,2.0,21.0
Bachelor Degree or Equivalent,1212,7.0,29.5
Bachelor Degree or Equivalent,4150,3.0,29.5
Master Degree or Equivalent,52981,5.0,29.5
Master Degree or Equivalent,4423,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,87813,24.0,39.5
Bachelor Degree or Equivalent,95310,19.0,49.5
Master Degree or Equivalent,85800,9.0,29.5
Bachelor Degree or Equivalent,12000,6.0,29.5
Bachelor Degree or Equivalent,66396,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,88138,12.0,39.5
Bachelor Degree or Equivalent,18571,1.0,39.5
Master Degree or Equivalent,142759,10.0,39.5
Bachelor Degree or Equivalent,26657,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,9505,3.0,21.0
Professional Degree,77104,5.0,39.5
Associate Degree or Short-cycle Tertiary Education,71779,16.0,39.5
Bachelor Degree or Equivalent,65483,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,92,1.0,29.5
Bachelor Degree or Equivalent,93104,35.0,59.5
Master Degree or Equivalent,53000,10.0,29.5
Bachelor Degree or Equivalent,49655,20.0,49.5
Bachelor Degree or Equivalent,104276,11.237177936373532,29.5
Associate Degree or Short-cycle Tertiary Education,80317,3.0,29.5
Bachelor Degree or Equivalent,3403,4.0,29.5
Bachelor Degree or Equivalent,374813,12.0,29.5
Master Degree or Equivalent,104705,9.0,39.5
Secondary Education,15741,2.0,21.0
Master Degree or Equivalent,88173,1.0,29.5
Secondary Education,85672,23.0,39.5
Bachelor Degree or Equivalent,144331,19.0,39.5
Bachelor Degree or Equivalent,52474,4.0,29.5
Bachelor Degree or Equivalent,5669,4.0,29.5
Bachelor Degree or Equivalent,23737,1.0,29.5
Master Degree or Equivalent,92141,4.0,39.5
Master Degree or Equivalent,83316,19.0,39.5
Master Degree or Equivalent,89314,4.0,29.5
Bachelor Degree or Equivalent,70344,10.0,29.5
Master Degree or Equivalent,74963,21.0,39.5
Bachelor Degree or Equivalent,76034,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,43693,20.0,49.5
Bachelor Degree or Equivalent,52638,21.0,39.5
Bachelor Degree or Equivalent,65324,10.0,29.5
Bachelor Degree or Equivalent,59515,4.0,29.5
Bachelor Degree or Equivalent,56543,5.0,29.5
Secondary Education,62069,7.0,29.5
Master Degree or Equivalent,835298,11.237177936373532,39.5
Secondary Education,139216,27.0,49.5
Bachelor Degree or Equivalent,98522,30.0,49.5
Master Degree or Equivalent,73713,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,35889,10.0,29.5
Master Degree or Equivalent,122217,9.0,29.5
Professional Degree,21418,0.0,29.5
Bachelor Degree or Equivalent,49503,6.0,29.5
Master Degree or Equivalent,83530,14.0,39.5
Master Degree or Equivalent,47119,25.0,59.5
Secondary Education,180000,14.0,29.5
Bachelor Degree or Equivalent,55180,12.0,29.5
Bachelor Degree or Equivalent,9597,4.0,29.5
Bachelor Degree or Equivalent,55862,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,46049,3.0,21.0
Master Degree or Equivalent,70000,10.0,29.5
,69608,15.0,39.5
Master Degree or Equivalent,15752,10.0,29.5
,37481,9.0,29.5
Bachelor Degree or Equivalent,185879,20.0,39.5
Master Degree or Equivalent,136552,4.0,39.5
Professional Degree,42385,13.0,39.5
Master Degree or Equivalent,32235,7.0,29.5
Bachelor Degree or Equivalent,83173,14.0,39.5
Bachelor Degree or Equivalent,727,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,50868,4.0,29.5
Bachelor Degree or Equivalent,98000,12.0,29.5
Bachelor Degree or Equivalent,69608,25.0,39.5
Master Degree or Equivalent,41464,5.0,49.5
,5934,1.0,21.0
Master Degree or Equivalent,110302,8.0,29.5
Master Degree or Equivalent,4120,3.0,29.5
Bachelor Degree or Equivalent,45494,15.0,39.5
Master Degree or Equivalent,240000,23.0,49.5
Bachelor Degree or Equivalent,2320,5.0,39.5
Bachelor Degree or Equivalent,53,8.0,29.5
Master Degree or Equivalent,38,5.0,29.5
Bachelor Degree or Equivalent,39623,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,42207,19.0,39.5
Bachelor Degree or Equivalent,64254,23.0,39.5
Bachelor Degree or Equivalent,7792,4.0,29.5
Bachelor Degree or Equivalent,59479,2.0,21.0
Bachelor Degree or Equivalent,84613,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,2181,0.0,21.0
Master Degree or Equivalent,36488,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,43448,5.0,49.5
Master Degree or Equivalent,95705,7.0,29.5
Master Degree or Equivalent,14000,4.0,29.5
Master Degree or Equivalent,1260,1.0,29.5
Bachelor Degree or Equivalent,17991,12.0,29.5
Bachelor Degree or Equivalent,13598,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,96381,1.0,21.0
Bachelor Degree or Equivalent,132260,10.0,39.5
Secondary Education,1499,0.0,21.0
Professional Degree,85672,7.0,39.5
Professional Degree,18197,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,48000,5.0,29.5
Bachelor Degree or Equivalent,74557,10.0,29.5
Bachelor Degree or Equivalent,150974,15.0,39.5
Master Degree or Equivalent,119940,8.0,29.5
Bachelor Degree or Equivalent,70867,3.0,29.5
Bachelor Degree or Equivalent,43448,0.0,21.0
Bachelor Degree or Equivalent,7658,1.0,29.5
Professional Degree,214179,20.0,39.5
Bachelor Degree or Equivalent,28559,6.0,29.5
Bachelor Degree or Equivalent,74351,11.237177936373532,29.5
Bachelor Degree or Equivalent,94239,7.0,39.5
Bachelor Degree or Equivalent,424091,7.0,29.5
Bachelor Degree or Equivalent,36518,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,67960,5.0,29.5
Bachelor Degree or Equivalent,6424,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,4331,20.0,39.5
Master Degree or Equivalent,46751,4.0,29.5
Bachelor Degree or Equivalent,23504,5.0,29.5
Bachelor Degree or Equivalent,150996,10.0,39.5
Bachelor Degree or Equivalent,43448,1.0,21.0
Master Degree or Equivalent,58166,3.0,29.5
Master Degree or Equivalent,16923,5.0,39.5
Associate Degree or Short-cycle Tertiary Education,48173,13.0,39.5
Master Degree or Equivalent,50332,1.0,21.0
Master Degree or Equivalent,112444,13.0,29.5
Bachelor Degree or Equivalent,93548,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,117798,18.0,39.5
Bachelor Degree or Equivalent,203470,15.0,29.5
Master Degree or Equivalent,63183,14.0,49.5
Master Degree or Equivalent,125000,4.0,39.5
Master Degree or Equivalent,57514,6.0,29.5
Bachelor Degree or Equivalent,53534,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,6817,1.0,29.5
Master Degree or Equivalent,38774,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,69608,20.0,39.5
Bachelor Degree or Equivalent,53073,10.0,39.5
Bachelor Degree or Equivalent,21016,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,49261,7.0,39.5
Bachelor Degree or Equivalent,18803,18.0,39.5
Master Degree or Equivalent,12075,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,72621,17.0,39.5
Bachelor Degree or Equivalent,151755,18.0,39.5
Master Degree or Equivalent,68190,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,69517,26.0,49.5
Bachelor Degree or Equivalent,24898,2.0,21.0
Bachelor Degree or Equivalent,5641,1.0,21.0
Primary Education,112152,36.0,59.5
Master Degree or Equivalent,25701,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,10965,4.0,29.5
Master Degree or Equivalent,86991,15.0,39.5
Master Degree or Equivalent,145242,10.0,29.5
Professional Degree,58899,4.0,29.5
Bachelor Degree or Equivalent,6581,1.0,21.0
Bachelor Degree or Equivalent,143785,11.0,39.5
Master Degree or Equivalent,1492,11.0,29.5
Master Degree or Equivalent,64254,2.0,39.5
Master Degree or Equivalent,80000,8.0,29.5
Master Degree or Equivalent,27118,4.0,29.5
Secondary Education,23247,0.0,29.5
Secondary Education,26558,11.0,39.5
Master Degree or Equivalent,11491,5.0,29.5
Professional Degree,22104,10.0,39.5
Secondary Education,279311,16.0,39.5
Secondary Education,21418,5.0,29.5
Bachelor Degree or Equivalent,12661,3.0,29.5
Master Degree or Equivalent,110060,9.0,29.5
Master Degree or Equivalent,87257,6.0,29.5
Master Degree or Equivalent,70679,4.0,29.5
Master Degree or Equivalent,738622,8.0,29.5
Bachelor Degree or Equivalent,12781,15.0,39.5
Professional Degree,85672,18.0,49.5
Professional Degree,85935,4.0,39.5
Bachelor Degree or Equivalent,90000,18.0,29.5
Secondary Education,108696,5.0,21.0
Bachelor Degree or Equivalent,89379,0.0,21.0
Bachelor Degree or Equivalent,90710,2.0,29.5
Master Degree or Equivalent,49679,12.0,29.5
Bachelor Degree or Equivalent,52909,8.0,29.5
Bachelor Degree or Equivalent,1818,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,73356,20.0,49.5
Master Degree or Equivalent,120779,11.0,29.5
Bachelor Degree or Equivalent,26950,30.0,49.5
Bachelor Degree or Equivalent,93104,11.0,39.5
Master Degree or Equivalent,3635,2.0,21.0
Master Degree or Equivalent,109490,23.0,49.5
Bachelor Degree or Equivalent,144571,16.0,39.5
Master Degree or Equivalent,77104,15.0,49.5
Bachelor Degree or Equivalent,198621,30.0,49.5
Bachelor Degree or Equivalent,21846,4.0,29.5
Master Degree or Equivalent,48468,15.0,39.5
Bachelor Degree or Equivalent,100478,6.0,29.5
Bachelor Degree or Equivalent,73769,2.0,29.5
Master Degree or Equivalent,165000,15.0,59.5
Bachelor Degree or Equivalent,81948,18.0,39.5
,8092,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,16883,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,111228,10.0,29.5
Master Degree or Equivalent,56757,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,60863,21.0,39.5
,6503,6.0,29.5
Bachelor Degree or Equivalent,91026,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,36857,11.0,29.5
Secondary Education,64552,7.0,21.0
Master Degree or Equivalent,23622,1.0,29.5
Bachelor Degree or Equivalent,32448,1.0,29.5
,128507,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,23520,5.0,29.5
Professional Degree,342687,10.0,39.5
Master Degree or Equivalent,86271,12.0,29.5
Bachelor Degree or Equivalent,842,9.0,29.5
Bachelor Degree or Equivalent,60000,28.0,49.5
Bachelor Degree or Equivalent,16748,6.0,29.5
Bachelor Degree or Equivalent,89500,6.0,29.5
Bachelor Degree or Equivalent,1818,10.0,29.5
Master Degree or Equivalent,7562,10.0,49.5
Associate Degree or Short-cycle Tertiary Education,102461,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,52318,7.0,29.5
Primary Education,44978,1.0,21.0
Master Degree or Equivalent,92097,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,46043,11.0,29.5
Master Degree or Equivalent,51394,4.0,29.5
Bachelor Degree or Equivalent,35009,4.0,21.0
Secondary Education,143785,22.0,39.5
Bachelor Degree or Equivalent,20683,3.0,29.5
Secondary Education,28714,3.0,39.5
Bachelor Degree or Equivalent,132208,40.0,59.5
Master Degree or Equivalent,96345,13.0,29.5
Bachelor Degree or Equivalent,69517,32.0,49.5
Bachelor Degree or Equivalent,60294,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,40575,10.0,49.5
Master Degree or Equivalent,40159,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,1500,8.0,29.5
Bachelor Degree or Equivalent,1943,7.0,29.5
Bachelor Degree or Equivalent,40426,8.0,29.5
Master Degree or Equivalent,62112,21.0,49.5
Bachelor Degree or Equivalent,75108,5.0,29.5
Bachelor Degree or Equivalent,133640,10.0,29.5
Bachelor Degree or Equivalent,85672,27.0,49.5
Bachelor Degree or Equivalent,94239,14.0,39.5
Master Degree or Equivalent,70881,25.0,49.5
Master Degree or Equivalent,58602,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,57104,3.0,29.5
Bachelor Degree or Equivalent,144571,25.0,49.5
Bachelor Degree or Equivalent,182052,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,42836,8.0,29.5
Bachelor Degree or Equivalent,81341,5.0,29.5
Master Degree or Equivalent,42836,37.0,49.5
Bachelor Degree or Equivalent,60863,20.0,39.5
Secondary Education,22747,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,76206,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,3898,1.0,21.0
Bachelor Degree or Equivalent,26772,4.0,29.5
Master Degree or Equivalent,197000,12.0,29.5
Bachelor Degree or Equivalent,12138,3.0,21.0
Professional Degree,53545,18.0,49.5
Bachelor Degree or Equivalent,57132,1.0,29.5
Bachelor Degree or Equivalent,1878,3.0,29.5
Master Degree or Equivalent,38774,13.0,39.5
Bachelor Degree or Equivalent,500,2.0,21.0
Master Degree or Equivalent,2589,2.0,29.5
Bachelor Degree or Equivalent,124138,8.0,39.5
Master Degree or Equivalent,191409,7.0,29.5
Master Degree or Equivalent,20599,10.0,39.5
Bachelor Degree or Equivalent,89722,5.0,29.5
Master Degree or Equivalent,80184,4.0,29.5
Master Degree or Equivalent,90000,13.0,29.5
Master Degree or Equivalent,65691,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,281,20.0,49.5
Bachelor Degree or Equivalent,91371,13.0,39.5
Bachelor Degree or Equivalent,37348,10.0,29.5
Bachelor Degree or Equivalent,91447,5.0,39.5
Master Degree or Equivalent,93684,8.0,39.5
Bachelor Degree or Equivalent,17569,1.0,21.0
Master Degree or Equivalent,138000,10.0,39.5
Bachelor Degree or Equivalent,72490,6.0,29.5
Secondary Education,27843,9.0,29.5
Secondary Education,80317,5.0,21.0
Bachelor Degree or Equivalent,54294,3.0,29.5
Master Degree or Equivalent,40693,3.0,29.5
Master Degree or Equivalent,54,15.0,39.5
Bachelor Degree or Equivalent,115657,13.0,39.5
Master Degree or Equivalent,121726,9.0,29.5
Bachelor Degree or Equivalent,83742,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,34269,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,59168,12.0,29.5
Professional Degree,66916,14.0,29.5
Bachelor Degree or Equivalent,40345,1.0,21.0
Master Degree or Equivalent,767,12.0,39.5
Master Degree or Equivalent,36410,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,32127,5.0,39.5
Associate Degree or Short-cycle Tertiary Education,27844,8.0,29.5
Master Degree or Equivalent,77104,2.0,29.5
Bachelor Degree or Equivalent,116732,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,15561,4.0,29.5
Professional Degree,29995,13.0,39.5
Bachelor Degree or Equivalent,93684,0.0,29.5
Bachelor Degree or Equivalent,96381,4.0,21.0
Master Degree or Equivalent,65000,10.0,29.5
Bachelor Degree or Equivalent,46256,10.0,29.5
Bachelor Degree or Equivalent,92000,3.0,21.0
Master Degree or Equivalent,55907,0.0,29.5
Master Degree or Equivalent,53545,30.0,59.5
Primary Education,40000,3.0,21.0
Bachelor Degree or Equivalent,37160,23.0,49.5
Secondary Education,26772,0.0,21.0
Bachelor Degree or Equivalent,116829,8.0,29.5
Bachelor Degree or Equivalent,133862,35.0,59.5
Associate Degree or Short-cycle Tertiary Education,27843,15.0,39.5
Bachelor Degree or Equivalent,52552,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,136000,14.0,49.5
Master Degree or Equivalent,890000,23.0,39.5
Bachelor Degree or Equivalent,64732,10.0,29.5
Bachelor Degree or Equivalent,37086,3.0,21.0
,48190,11.0,29.5
Master Degree or Equivalent,83742,10.0,29.5
Master Degree or Equivalent,63952,10.0,29.5
Bachelor Degree or Equivalent,7013,2.0,29.5
,64254,5.0,29.5
Bachelor Degree or Equivalent,77000,1.0,21.0
Bachelor Degree or Equivalent,27000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,121238,4.0,29.5
Professional Degree,139216,14.0,39.5
Bachelor Degree or Equivalent,60584,20.0,49.5
Secondary Education,7101,4.0,21.0
Bachelor Degree or Equivalent,12819,1.0,29.5
Bachelor Degree or Equivalent,72620,11.0,29.5
Bachelor Degree or Equivalent,24000,19.0,49.5
Bachelor Degree or Equivalent,8752,4.0,21.0
Secondary Education,11075,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,10154,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,70634,1.0,21.0
Bachelor Degree or Equivalent,133500,25.0,49.5
Master Degree or Equivalent,103110.08171765343,13.0,33.12089367216994
Associate Degree or Short-cycle Tertiary Education,53224,4.0,21.0
Associate Degree or Short-cycle Tertiary Education,53544,9.0,29.5
Bachelor Degree or Equivalent,89379,13.0,29.5
Professional Degree,115028,15.0,49.5
Associate Degree or Short-cycle Tertiary Education,200000,28.0,59.5
Bachelor Degree or Equivalent,64254,3.0,39.5
Bachelor Degree or Equivalent,43907,10.0,29.5
Master Degree or Equivalent,63718,15.0,39.5
Bachelor Degree or Equivalent,93000,7.0,39.5
Master Degree or Equivalent,55862,7.0,39.5
Bachelor Degree or Equivalent,21128,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,3635,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,14575,8.0,29.5
Master Degree or Equivalent,94898,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,135000,16.0,29.5
Bachelor Degree or Equivalent,69608,37.0,59.5
Master Degree or Equivalent,19276,3.0,29.5
Bachelor Degree or Equivalent,58898,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,139781,27.0,49.5
Professional Degree,141268,12.0,39.5
Bachelor Degree or Equivalent,225000,27.0,59.5
Bachelor Degree or Equivalent,136000,21.0,49.5
Bachelor Degree or Equivalent,61448,9.0,29.5
Bachelor Degree or Equivalent,20599,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,14897,0.0,21.0
Bachelor Degree or Equivalent,16923,3.0,29.5
,71379,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,77104,9.0,29.5
Master Degree or Equivalent,69106,7.0,29.5
Master Degree or Equivalent,4596,8.0,29.5
Bachelor Degree or Equivalent,39104,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,93114,12.0,39.5
Bachelor Degree or Equivalent,145000,32.0,70.0
Bachelor Degree or Equivalent,117798,14.0,39.5
Bachelor Degree or Equivalent,10550,4.0,21.0
Bachelor Degree or Equivalent,53545,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,48190,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,14452,2.0,29.5
Bachelor Degree or Equivalent,86679,5.0,29.5
Master Degree or Equivalent,80690,8.0,29.5
Bachelor Degree or Equivalent,49655,3.0,59.5
Associate Degree or Short-cycle Tertiary Education,93683,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,89955,12.0,39.5
Master Degree or Equivalent,115657,11.0,29.5
Master Degree or Equivalent,63600,5.0,29.5
Master Degree or Equivalent,17769,17.0,39.5
Bachelor Degree or Equivalent,69147,3.0,29.5
Bachelor Degree or Equivalent,24631,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,23128,5.0,29.5
Secondary Education,144000,5.0,29.5
Master Degree or Equivalent,7,8.0,39.5
Secondary Education,9000,2.0,21.0
Professional Degree,70000,3.0,29.5
Bachelor Degree or Equivalent,16025,5.0,29.5
Bachelor Degree or Equivalent,163466,23.0,49.5
Associate Degree or Short-cycle Tertiary Education,750000,14.0,39.5
Bachelor Degree or Equivalent,31759,8.0,29.5
Professional Degree,41766,6.0,29.5
Bachelor Degree or Equivalent,212000,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,145000,4.0,29.5
Professional Degree,30431,15.0,49.5
Bachelor Degree or Equivalent,28204,3.0,29.5
Bachelor Degree or Equivalent,128000,3.0,29.5
Bachelor Degree or Equivalent,15794,10.0,21.0
Professional Degree,168000,20.0,49.5
Master Degree or Equivalent,46049,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,35394,3.0,21.0
Professional Degree,192500,10.0,39.5
Bachelor Degree or Equivalent,48833,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,81787,7.0,29.5
Master Degree or Equivalent,33412,1.0,29.5
Bachelor Degree or Equivalent,148966,34.0,59.5
Associate Degree or Short-cycle Tertiary Education,100374,13.0,29.5
Bachelor Degree or Equivalent,133000,25.0,49.5
Bachelor Degree or Equivalent,60584,1.0,21.0
Master Degree or Equivalent,95705,12.0,29.5
Master Degree or Equivalent,40345,0.0,21.0
Bachelor Degree or Equivalent,350,3.0,21.0
Bachelor Degree or Equivalent,9576,2.0,39.5
Master Degree or Equivalent,39623,0.0,21.0
Bachelor Degree or Equivalent,8646,2.0,29.5
Bachelor Degree or Equivalent,94786,2.0,21.0
,82630,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,150000,2.0,29.5
Professional Degree,48690,20.0,39.5
Bachelor Degree or Equivalent,131000,13.0,39.5
Bachelor Degree or Equivalent,43448,11.0,39.5
Master Degree or Equivalent,250000,45.0,70.0
Bachelor Degree or Equivalent,25495,1.0,29.5
Master Degree or Equivalent,2570,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,21938,2.0,21.0
Bachelor Degree or Equivalent,23035,3.0,29.5
Primary Education,120000,37.0,59.5
Secondary Education,21418,10.0,29.5
Master Degree or Equivalent,130000,31.0,49.5
Master Degree or Equivalent,213000,20.0,39.5
Bachelor Degree or Equivalent,9702,6.0,29.5
Bachelor Degree or Equivalent,230000,24.0,49.5
Secondary Education,29749,2.0,29.5
Master Degree or Equivalent,45332,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,104948,15.0,39.5
Professional Degree,7270,10.0,39.5
Bachelor Degree or Equivalent,42984,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,275000,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,128507,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,108,3.0,39.5
Master Degree or Equivalent,20599,6.0,39.5
Master Degree or Equivalent,81150,22.0,49.5
Bachelor Degree or Equivalent,42017,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,27765,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,59435,15.0,49.5
Associate Degree or Short-cycle Tertiary Education,56757,4.0,29.5
Master Degree or Equivalent,921414,4.0,29.5
Bachelor Degree or Equivalent,29042,1.0,39.5
Secondary Education,114000,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,46797,1.0,21.0
Master Degree or Equivalent,151725,2.0,29.5
Bachelor Degree or Equivalent,976,7.0,29.5
Bachelor Degree or Equivalent,35340,0.0,29.5
Bachelor Degree or Equivalent,24345,22.0,39.5
Associate Degree or Short-cycle Tertiary Education,50559,11.0,29.5
Master Degree or Equivalent,44228,1.0,21.0
Bachelor Degree or Equivalent,166000,4.0,21.0
Bachelor Degree or Equivalent,2142,5.0,29.5
Master Degree or Equivalent,200000,11.0,29.5
Bachelor Degree or Equivalent,187000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,89222,8.0,39.5
Bachelor Degree or Equivalent,3150,2.0,21.0
Master Degree or Equivalent,121011,15.0,39.5
Bachelor Degree or Equivalent,60330,9.0,29.5
Master Degree or Equivalent,241000,25.0,49.5
Master Degree or Equivalent,18175,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,87500,2.0,29.5
Bachelor Degree or Equivalent,240000,7.0,21.0
,55687,8.0,29.5
Secondary Education,74483,2.0,21.0
Bachelor Degree or Equivalent,137550,3.0,29.5
Bachelor Degree or Equivalent,20288,5.0,49.5
Bachelor Degree or Equivalent,5210,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,53462,12.0,29.5
Bachelor Degree or Equivalent,81994,15.0,39.5
Bachelor Degree or Equivalent,95331,26.0,49.5
Bachelor Degree or Equivalent,131269,36.0,59.5
Associate Degree or Short-cycle Tertiary Education,167500,5.0,29.5
Master Degree or Equivalent,25000,4.0,39.5
Master Degree or Equivalent,160367,8.0,29.5
Bachelor Degree or Equivalent,195000,14.0,29.5
Associate Degree or Short-cycle Tertiary Education,47852,3.0,39.5
Master Degree or Equivalent,230000,26.0,59.5
Master Degree or Equivalent,81388,23.0,39.5
Bachelor Degree or Equivalent,60000,10.0,29.5
Bachelor Degree or Equivalent,8922,3.0,29.5
Master Degree or Equivalent,95000,6.0,29.5
Bachelor Degree or Equivalent,60720,10.0,29.5
Secondary Education,64254,3.0,21.0
Bachelor Degree or Equivalent,81931,4.0,39.5
Bachelor Degree or Equivalent,56206,5.0,39.5
Secondary Education,35360,0.0,21.0
Bachelor Degree or Equivalent,19191,0.0,21.0
Secondary Education,46777,4.0,21.0
Bachelor Degree or Equivalent,115657,7.0,29.5
,103110.08171765343,8.0,33.12089367216994
Bachelor Degree or Equivalent,33497,1.0,29.5
Bachelor Degree or Equivalent,18325,10.0,29.5
Secondary Education,102806,18.0,39.5
Master Degree or Equivalent,312,15.0,39.5
Bachelor Degree or Equivalent,65500,1.0,21.0
Bachelor Degree or Equivalent,56757,14.0,39.5
