@relation Combined_Dataset

@attribute 'Years of Experience' numeric
@attribute 'Education Level' {'Bachelor Degree or Equivalent','Master Degree or Equivalent','Doctorate or Equivalent',NA,'Associate Degree or Short-cycle Tertiary Education','Primary Education','Professional Degree','Secondary Education'}
@attribute Age numeric
@attribute Salary_Level {low,medium,high}

@data
10,'Master Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,low
15,'Bachelor Degree or Equivalent',29.5,high
8,'Professional Degree',39.5,high
20,'Bachelor Degree or Equivalent',49.5,medium
3,'Master Degree or Equivalent',39.5,medium
12,'Secondary Education',29.5,medium
9,'Bachelor Degree or Equivalent',29.5,low
15,'Secondary Education',29.5,medium
3,'Bachelor Degree or Equivalent',29.5,medium
0,'Professional Degree',39.5,low
5,'Bachelor Degree or Equivalent',39.5,high
1,'Professional Degree',29.5,high
17,'Bachelor Degree or Equivalent',39.5,medium
9,'Bachelor Degree or Equivalent',29.5,medium
5,'Bachelor Degree or Equivalent',39.5,medium
35,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
1,'Bachelor Degree or Equivalent',21,low
5,'Master Degree or Equivalent',29.5,low
6,'Bachelor Degree or Equivalent',21,medium
31,'Master Degree or Equivalent',49.5,medium
3,'Bachelor Degree or Equivalent',21,low
32,'Bachelor Degree or Equivalent',59.5,medium
11,'Bachelor Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,low
20,'Professional Degree',39.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
35,'Secondary Education',49.5,high
17,'Bachelor Degree or Equivalent',39.5,medium
1,'Master Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',59.5,high
20,'Associate Degree or Short-cycle Tertiary Education',49.5,high
6,'Bachelor Degree or Equivalent',29.5,high
16,'Bachelor Degree or Equivalent',39.5,low
6,'Bachelor Degree or Equivalent',39.5,low
20,'Master Degree or Equivalent',49.5,medium
11.237178,'Primary Education',29.5,high
29,'Bachelor Degree or Equivalent',49.5,high
15,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',39.5,high
33,'Professional Degree',59.5,medium
2,'Bachelor Degree or Equivalent',21,low
21,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
37,'Bachelor Degree or Equivalent',59.5,medium
13,'Associate Degree or Short-cycle Tertiary Education',29.5,low
15,'Professional Degree',39.5,medium
9,'Master Degree or Equivalent',29.5,low
6,'Bachelor Degree or Equivalent',29.5,medium
9,'Master Degree or Equivalent',29.5,low
24,'Master Degree or Equivalent',39.5,high
7,'Bachelor Degree or Equivalent',29.5,low
15,'Associate Degree or Short-cycle Tertiary Education',49.5,high
3,'Associate Degree or Short-cycle Tertiary Education',29.5,low
17,'Associate Degree or Short-cycle Tertiary Education',39.5,high
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
4,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
6,'Secondary Education',29.5,low
8,'Secondary Education',29.5,low
31,'Bachelor Degree or Equivalent',59.5,medium
9,'Bachelor Degree or Equivalent',29.5,high
19,'Bachelor Degree or Equivalent',49.5,high
22,'Bachelor Degree or Equivalent',39.5,low
7,'Master Degree or Equivalent',29.5,medium
10,'Master Degree or Equivalent',49.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
36,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
31,'Master Degree or Equivalent',49.5,high
10,'Professional Degree',39.5,high
3,'Bachelor Degree or Equivalent',29.5,low
12,'Master Degree or Equivalent',29.5,high
0,'Bachelor Degree or Equivalent',29.5,low
42,'Bachelor Degree or Equivalent',33.120894,high
6,'Master Degree or Equivalent',29.5,medium
30,'Professional Degree',49.5,medium
4,'Associate Degree or Short-cycle Tertiary Education',21,low
40,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
13,'Bachelor Degree or Equivalent',29.5,low
22,'Master Degree or Equivalent',59.5,high
7,'Bachelor Degree or Equivalent',29.5,medium
26,'Bachelor Degree or Equivalent',49.5,medium
1,'Master Degree or Equivalent',21,medium
17,'Master Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,low
11,'Bachelor Degree or Equivalent',29.5,low
17,'Master Degree or Equivalent',39.5,high
17,'Bachelor Degree or Equivalent',39.5,high
9,'Associate Degree or Short-cycle Tertiary Education',29.5,low
10,'Master Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,medium
6,'Master Degree or Equivalent',39.5,medium
12,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
5,'Professional Degree',29.5,high
10,'Secondary Education',49.5,medium
27,'Bachelor Degree or Equivalent',49.5,low
16,'Professional Degree',49.5,medium
11,'Master Degree or Equivalent',39.5,high
14,'Associate Degree or Short-cycle Tertiary Education',29.5,high
2,'Master Degree or Equivalent',29.5,low
9,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
32,'Associate Degree or Short-cycle Tertiary Education',59.5,high
30,'Secondary Education',59.5,medium
7,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',37,medium
11,'Primary Education',29.5,high
3,'Associate Degree or Short-cycle Tertiary Education',29.5,high
0,'Bachelor Degree or Equivalent',29.5,medium
20,'Bachelor Degree or Equivalent',39.5,medium
3,'Master Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',39.5,low
9,'Associate Degree or Short-cycle Tertiary Education',29.5,high
9,'Master Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
15,'Bachelor Degree or Equivalent',29.5,high
11,'Master Degree or Equivalent',39.5,medium
3,'Bachelor Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',39.5,low
7,'Bachelor Degree or Equivalent',29.5,high
3,'Bachelor Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',29.5,medium
20,'Bachelor Degree or Equivalent',49.5,high
5,'Associate Degree or Short-cycle Tertiary Education',29.5,high
11,'Bachelor Degree or Equivalent',29.5,medium
14,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
2,'Master Degree or Equivalent',29.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
37,'Bachelor Degree or Equivalent',49.5,high
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
2,'Bachelor Degree or Equivalent',21,medium
3,'Bachelor Degree or Equivalent',21,high
11,'Bachelor Degree or Equivalent',29.5,low
6,'Bachelor Degree or Equivalent',39.5,low
14,'Associate Degree or Short-cycle Tertiary Education',39.5,low
22,'Professional Degree',49.5,medium
9,'Bachelor Degree or Equivalent',29.5,low
12,'Bachelor Degree or Equivalent',29.5,high
8,'Bachelor Degree or Equivalent',39.5,high
15,'Associate Degree or Short-cycle Tertiary Education',39.5,high
2,'Bachelor Degree or Equivalent',21,low
3,'Master Degree or Equivalent',29.5,high
14,'Bachelor Degree or Equivalent',29.5,high
19,'Secondary Education',39.5,low
12,'Bachelor Degree or Equivalent',39.5,medium
7,'Bachelor Degree or Equivalent',29.5,medium
23,'Associate Degree or Short-cycle Tertiary Education',39.5,low
20,'Professional Degree',39.5,high
11,'Master Degree or Equivalent',29.5,medium
8,'Master Degree or Equivalent',39.5,medium
10,'Secondary Education',29.5,low
11,'Bachelor Degree or Equivalent',39.5,medium
38,'Professional Degree',59.5,high
18,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
46,'Bachelor Degree or Equivalent',70,medium
2,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',29.5,high
9,'Master Degree or Equivalent',29.5,medium
27,'Secondary Education',49.5,high
44,'Bachelor Degree or Equivalent',70,high
5,'Master Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',29.5,high
1,'Master Degree or Equivalent',39.5,low
10,'Secondary Education',29.5,medium
19,'Bachelor Degree or Equivalent',39.5,high
4,'Bachelor Degree or Equivalent',29.5,medium
20,'Bachelor Degree or Equivalent',39.5,high
1,?,29.5,low
35,'Associate Degree or Short-cycle Tertiary Education',49.5,high
10,'Master Degree or Equivalent',39.5,medium
8,'Bachelor Degree or Equivalent',59.5,high
9,'Bachelor Degree or Equivalent',39.5,high
5,'Associate Degree or Short-cycle Tertiary Education',29.5,high
3,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,high
27,'Bachelor Degree or Equivalent',49.5,low
27,'Bachelor Degree or Equivalent',59.5,high
14,'Secondary Education',39.5,high
10,'Bachelor Degree or Equivalent',29.5,medium
19,'Bachelor Degree or Equivalent',39.5,high
2,'Bachelor Degree or Equivalent',21,low
16,'Bachelor Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,medium
37,'Master Degree or Equivalent',49.5,low
25,'Associate Degree or Short-cycle Tertiary Education',49.5,low
9,'Bachelor Degree or Equivalent',39.5,high
11,'Master Degree or Equivalent',29.5,low
29,'Associate Degree or Short-cycle Tertiary Education',49.5,high
22,'Master Degree or Equivalent',49.5,high
11,'Bachelor Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',39.5,medium
6,'Bachelor Degree or Equivalent',29.5,low
6,?,29.5,medium
25,'Bachelor Degree or Equivalent',49.5,medium
28,'Bachelor Degree or Equivalent',49.5,high
10,'Bachelor Degree or Equivalent',39.5,medium
15,'Master Degree or Equivalent',39.5,high
10,'Master Degree or Equivalent',29.5,low
0,'Bachelor Degree or Equivalent',21,low
4,'Bachelor Degree or Equivalent',29.5,medium
2,'Bachelor Degree or Equivalent',29.5,low
23,'Associate Degree or Short-cycle Tertiary Education',70,high
5,'Master Degree or Equivalent',49.5,low
12,'Professional Degree',49.5,medium
32,'Bachelor Degree or Equivalent',49.5,high
20,'Bachelor Degree or Equivalent',49.5,medium
3,?,29.5,low
6,'Associate Degree or Short-cycle Tertiary Education',29.5,low
1,'Professional Degree',21,low
25,'Professional Degree',59.5,high
2,'Master Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',39.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,medium
3,'Bachelor Degree or Equivalent',21,low
5,'Master Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',29.5,low
36,'Secondary Education',49.5,high
6,'Master Degree or Equivalent',29.5,medium
1,'Associate Degree or Short-cycle Tertiary Education',29.5,low
6,'Bachelor Degree or Equivalent',29.5,low
5,'Associate Degree or Short-cycle Tertiary Education',21,low
7,'Master Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',49.5,medium
35,?,49.5,medium
11,'Bachelor Degree or Equivalent',29.5,medium
27,'Master Degree or Equivalent',49.5,high
1,'Bachelor Degree or Equivalent',21,high
5,'Secondary Education',21,low
3,'Associate Degree or Short-cycle Tertiary Education',21,low
8,'Bachelor Degree or Equivalent',39.5,low
11,'Master Degree or Equivalent',49.5,high
1,'Bachelor Degree or Equivalent',29.5,low
12,'Secondary Education',29.5,high
7,'Master Degree or Equivalent',39.5,medium
8,'Master Degree or Equivalent',39.5,high
2,'Associate Degree or Short-cycle Tertiary Education',21,low
16,'Bachelor Degree or Equivalent',39.5,medium
2,'Master Degree or Equivalent',29.5,low
13,'Bachelor Degree or Equivalent',39.5,medium
2,'Master Degree or Equivalent',29.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',49.5,high
17,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
3,'Bachelor Degree or Equivalent',21,medium
19,'Associate Degree or Short-cycle Tertiary Education',39.5,low
31,?,59.5,medium
35,'Master Degree or Equivalent',59.5,low
3,'Master Degree or Equivalent',29.5,medium
32,'Associate Degree or Short-cycle Tertiary Education',59.5,high
15,'Master Degree or Equivalent',39.5,high
5,'Bachelor Degree or Equivalent',29.5,low
11,'Bachelor Degree or Equivalent',29.5,high
4,'Associate Degree or Short-cycle Tertiary Education',21,high
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
12,'Bachelor Degree or Equivalent',29.5,medium
12,'Master Degree or Equivalent',39.5,medium
50,'Professional Degree',70,high
5,'Master Degree or Equivalent',21,medium
32,'Bachelor Degree or Equivalent',49.5,medium
16,'Associate Degree or Short-cycle Tertiary Education',29.5,high
4,'Master Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',29.5,low
23,'Secondary Education',39.5,high
27,'Associate Degree or Short-cycle Tertiary Education',49.5,low
7,'Bachelor Degree or Equivalent',29.5,high
9,'Associate Degree or Short-cycle Tertiary Education',29.5,high
3,'Master Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',29.5,low
4,'Bachelor Degree or Equivalent',29.5,high
4,'Master Degree or Equivalent',39.5,high
8,'Bachelor Degree or Equivalent',29.5,low
26,'Associate Degree or Short-cycle Tertiary Education',49.5,high
2,'Secondary Education',29.5,low
7,'Bachelor Degree or Equivalent',29.5,low
19,'Associate Degree or Short-cycle Tertiary Education',39.5,high
8,'Master Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',21,high
0,'Master Degree or Equivalent',29.5,high
2,'Master Degree or Equivalent',29.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
15,'Secondary Education',59.5,high
13,'Bachelor Degree or Equivalent',39.5,high
5,?,21,low
6,'Bachelor Degree or Equivalent',29.5,low
5,'Master Degree or Equivalent',29.5,medium
17,'Master Degree or Equivalent',29.5,medium
12,'Professional Degree',39.5,low
18,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
5,'Master Degree or Equivalent',29.5,medium
30,'Bachelor Degree or Equivalent',49.5,low
7,'Master Degree or Equivalent',39.5,medium
16,'Bachelor Degree or Equivalent',39.5,low
25,'Master Degree or Equivalent',59.5,high
25,'Secondary Education',49.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
2,'Bachelor Degree or Equivalent',29.5,medium
15,'Bachelor Degree or Equivalent',39.5,high
21,'Master Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,low
20,'Master Degree or Equivalent',39.5,medium
16,'Master Degree or Equivalent',39.5,medium
5,'Master Degree or Equivalent',29.5,medium
12,'Associate Degree or Short-cycle Tertiary Education',39.5,high
12,'Bachelor Degree or Equivalent',29.5,high
6,'Secondary Education',29.5,low
10,'Master Degree or Equivalent',29.5,medium
26,'Master Degree or Equivalent',49.5,medium
30,'Associate Degree or Short-cycle Tertiary Education',49.5,high
17,'Master Degree or Equivalent',39.5,medium
3,'Master Degree or Equivalent',29.5,low
2,'Secondary Education',18,medium
6,'Master Degree or Equivalent',29.5,low
15,'Secondary Education',29.5,low
30,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
11.237178,'Master Degree or Equivalent',29.5,high
15,'Master Degree or Equivalent',39.5,medium
14,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,low
4,'Secondary Education',21,low
14,'Master Degree or Equivalent',39.5,medium
15,'Master Degree or Equivalent',29.5,high
6,'Master Degree or Equivalent',29.5,high
15,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',39.5,low
10,'Professional Degree',29.5,low
2,'Bachelor Degree or Equivalent',21,medium
6,'Associate Degree or Short-cycle Tertiary Education',49.5,low
20,'Bachelor Degree or Equivalent',49.5,medium
2,'Master Degree or Equivalent',21,medium
3,?,18,high
19,'Master Degree or Equivalent',49.5,medium
10,'Bachelor Degree or Equivalent',29.5,high
4,'Professional Degree',29.5,low
27,'Bachelor Degree or Equivalent',39.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
18,'Secondary Education',29.5,medium
24,'Bachelor Degree or Equivalent',59.5,high
4,'Bachelor Degree or Equivalent',29.5,medium
6,?,29.5,medium
3,'Professional Degree',21,low
9,'Bachelor Degree or Equivalent',49.5,high
10,'Professional Degree',29.5,medium
20,'Professional Degree',39.5,medium
3,'Master Degree or Equivalent',29.5,low
12,'Master Degree or Equivalent',29.5,medium
7,'Professional Degree',29.5,high
12,'Secondary Education',39.5,high
7,'Bachelor Degree or Equivalent',29.5,medium
44,'Bachelor Degree or Equivalent',59.5,high
6,'Professional Degree',39.5,low
38,'Bachelor Degree or Equivalent',59.5,high
20,'Master Degree or Equivalent',49.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,low
20,'Master Degree or Equivalent',29.5,medium
15,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,low
4,'Master Degree or Equivalent',49.5,medium
4,'Bachelor Degree or Equivalent',21,low
12,'Bachelor Degree or Equivalent',39.5,medium
0,'Professional Degree',29.5,medium
22,'Bachelor Degree or Equivalent',49.5,low
2,'Associate Degree or Short-cycle Tertiary Education',21,high
5,'Secondary Education',29.5,medium
25,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
7,'Bachelor Degree or Equivalent',29.5,high
0,'Associate Degree or Short-cycle Tertiary Education',18,low
4,'Bachelor Degree or Equivalent',29.5,low
1,'Master Degree or Equivalent',29.5,low
3,'Bachelor Degree or Equivalent',21,medium
3,'Bachelor Degree or Equivalent',21,low
12,'Professional Degree',39.5,high
2,'Bachelor Degree or Equivalent',29.5,low
26,'Associate Degree or Short-cycle Tertiary Education',49.5,low
3,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
10,'Bachelor Degree or Equivalent',29.5,medium
11,'Bachelor Degree or Equivalent',29.5,high
17,?,39.5,high
5,'Master Degree or Equivalent',29.5,low
27,'Master Degree or Equivalent',49.5,high
15,'Bachelor Degree or Equivalent',39.5,high
8,'Bachelor Degree or Equivalent',39.5,high
5,'Associate Degree or Short-cycle Tertiary Education',39.5,low
10,'Master Degree or Equivalent',29.5,medium
7,'Master Degree or Equivalent',29.5,high
8,'Bachelor Degree or Equivalent',49.5,low
2,'Bachelor Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',39.5,high
11,'Master Degree or Equivalent',29.5,medium
10,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
15,'Master Degree or Equivalent',49.5,medium
4,'Bachelor Degree or Equivalent',21,low
9,'Associate Degree or Short-cycle Tertiary Education',29.5,high
3,'Bachelor Degree or Equivalent',29.5,medium
22,'Master Degree or Equivalent',59.5,high
2,'Associate Degree or Short-cycle Tertiary Education',21,low
20,'Bachelor Degree or Equivalent',39.5,high
12,'Bachelor Degree or Equivalent',39,medium
8,'Bachelor Degree or Equivalent',29.5,low
18,'Master Degree or Equivalent',39.5,medium
19,'Master Degree or Equivalent',49.5,high
10,'Bachelor Degree or Equivalent',29.5,high
0,'Bachelor Degree or Equivalent',21,low
20,'Bachelor Degree or Equivalent',49.5,high
21,'Bachelor Degree or Equivalent',49.5,low
24,'Bachelor Degree or Equivalent',49.5,high
3,'Master Degree or Equivalent',29.5,low
2,'Master Degree or Equivalent',29.5,low
33,'Associate Degree or Short-cycle Tertiary Education',59.5,low
12,'Secondary Education',29.5,high
6,'Master Degree or Equivalent',29.5,high
12,'Bachelor Degree or Equivalent',29.5,high
3,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
30,'Master Degree or Equivalent',49.5,high
0,'Associate Degree or Short-cycle Tertiary Education',21,low
2,'Bachelor Degree or Equivalent',21,low
2,'Bachelor Degree or Equivalent',39.5,medium
22,'Master Degree or Equivalent',39.5,high
15,'Bachelor Degree or Equivalent',39.5,low
3,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',29.5,low
5,'Associate Degree or Short-cycle Tertiary Education',29.5,high
13,'Associate Degree or Short-cycle Tertiary Education',39.5,high
3,'Master Degree or Equivalent',49.5,low
23,'Bachelor Degree or Equivalent',59.5,low
11.237178,'Bachelor Degree or Equivalent',49.5,high
13,'Master Degree or Equivalent',29.5,medium
18,'Associate Degree or Short-cycle Tertiary Education',39.5,high
4,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
18,'Associate Degree or Short-cycle Tertiary Education',39.5,high
14,'Associate Degree or Short-cycle Tertiary Education',39.5,low
0,'Bachelor Degree or Equivalent',29.5,medium
8,'Master Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',39.5,low
7,'Master Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',29.5,low
17,'Bachelor Degree or Equivalent',39.5,high
30,'Master Degree or Equivalent',49.5,high
16,'Bachelor Degree or Equivalent',39.5,medium
19,'Bachelor Degree or Equivalent',39.5,high
21,'Professional Degree',49.5,medium
13,'Bachelor Degree or Equivalent',39.5,medium
13,'Associate Degree or Short-cycle Tertiary Education',39.5,low
7,'Bachelor Degree or Equivalent',29.5,low
10,'Associate Degree or Short-cycle Tertiary Education',29.5,high
1,'Bachelor Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,medium
23,'Bachelor Degree or Equivalent',49.5,high
4,'Associate Degree or Short-cycle Tertiary Education',21,low
3,'Bachelor Degree or Equivalent',21,low
8,'Master Degree or Equivalent',39.5,high
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
36,'Secondary Education',49.5,high
15,'Professional Degree',39.5,medium
43,'Professional Degree',70,high
8,'Bachelor Degree or Equivalent',33.120894,low
12,'Professional Degree',49.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',29.5,high
8,'Bachelor Degree or Equivalent',29.5,high
2,'Bachelor Degree or Equivalent',29.5,low
6,'Master Degree or Equivalent',29.5,high
6,'Bachelor Degree or Equivalent',29.5,low
13,'Associate Degree or Short-cycle Tertiary Education',29.5,high
25,'Bachelor Degree or Equivalent',49.5,high
0,'Professional Degree',39.5,low
18,'Bachelor Degree or Equivalent',49.5,high
14,'Bachelor Degree or Equivalent',39.5,high
0,'Master Degree or Equivalent',21,low
13,'Master Degree or Equivalent',39.5,high
16,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,low
15,'Professional Degree',39.5,high
4,'Master Degree or Equivalent',29.5,medium
1,'Associate Degree or Short-cycle Tertiary Education',39.5,low
8,'Master Degree or Equivalent',39.5,high
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
5,'Associate Degree or Short-cycle Tertiary Education',29.5,high
2,'Professional Degree',39.5,high
25,'Associate Degree or Short-cycle Tertiary Education',49.5,low
23,'Bachelor Degree or Equivalent',49.5,high
4,'Bachelor Degree or Equivalent',21,low
7,'Bachelor Degree or Equivalent',29.5,low
4,'Master Degree or Equivalent',29.5,medium
10,'Professional Degree',39.5,high
19,'Bachelor Degree or Equivalent',49.5,high
6,'Bachelor Degree or Equivalent',39.5,medium
1,'Professional Degree',49.5,low
6,'Bachelor Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,medium
33,'Associate Degree or Short-cycle Tertiary Education',49.5,high
14,'Bachelor Degree or Equivalent',39.5,high
18,'Bachelor Degree or Equivalent',49.5,high
2,'Master Degree or Equivalent',21,low
25,'Bachelor Degree or Equivalent',49.5,low
3,'Master Degree or Equivalent',39.5,low
8,'Bachelor Degree or Equivalent',29.5,high
10,?,39.5,medium
2,'Bachelor Degree or Equivalent',21,low
8,'Bachelor Degree or Equivalent',29.5,high
17,'Bachelor Degree or Equivalent',29.5,high
5,'Master Degree or Equivalent',29.5,low
8,'Professional Degree',39.5,low
6,'Associate Degree or Short-cycle Tertiary Education',29.5,low
1,?,49.5,low
20,'Bachelor Degree or Equivalent',49.5,high
12,'Bachelor Degree or Equivalent',39.5,high
20,'Master Degree or Equivalent',39.5,medium
27,'Bachelor Degree or Equivalent',49.5,medium
1,'Bachelor Degree or Equivalent',39.5,medium
22,'Bachelor Degree or Equivalent',49.5,high
19,'Master Degree or Equivalent',47,high
18,'Bachelor Degree or Equivalent',39.5,high
22,'Secondary Education',39.5,high
23,'Master Degree or Equivalent',39.5,low
25,'Master Degree or Equivalent',49.5,medium
8,'Secondary Education',39.5,medium
42,'Bachelor Degree or Equivalent',59.5,high
4,'Professional Degree',29.5,high
2,'Bachelor Degree or Equivalent',29.5,low
26,'Professional Degree',39.5,high
19,'Bachelor Degree or Equivalent',39.5,high
4,'Bachelor Degree or Equivalent',29.5,medium
12,'Master Degree or Equivalent',39.5,high
17,'Master Degree or Equivalent',39.5,low
1,'Master Degree or Equivalent',21,low
6,'Associate Degree or Short-cycle Tertiary Education',21,medium
22,'Master Degree or Equivalent',49.5,high
2,'Master Degree or Equivalent',29.5,medium
7,'Master Degree or Equivalent',29.5,medium
9,'Professional Degree',29.5,low
3,'Bachelor Degree or Equivalent',49.5,medium
5,'Bachelor Degree or Equivalent',39.5,high
4,'Secondary Education',21,low
2,'Bachelor Degree or Equivalent',29.5,low
3,'Bachelor Degree or Equivalent',29.5,low
6,'Master Degree or Equivalent',29.5,high
25,'Bachelor Degree or Equivalent',59.5,medium
1,'Bachelor Degree or Equivalent',39.5,low
22,'Master Degree or Equivalent',49.5,high
3,?,21,high
4,'Master Degree or Equivalent',29.5,low
11,'Bachelor Degree or Equivalent',39.5,medium
22,'Master Degree or Equivalent',49.5,low
4,'Bachelor Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,high
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
7,'Bachelor Degree or Equivalent',29.5,high
30,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',39.5,high
8,'Bachelor Degree or Equivalent',39.5,high
25,'Bachelor Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',39.5,medium
33,'Bachelor Degree or Equivalent',59.5,high
4,'Master Degree or Equivalent',29.5,medium
9,'Bachelor Degree or Equivalent',29.5,medium
33,'Master Degree or Equivalent',49.5,medium
6,'Secondary Education',29.5,medium
2,'Bachelor Degree or Equivalent',29.5,low
22,'Bachelor Degree or Equivalent',39.5,high
7,'Bachelor Degree or Equivalent',39.5,medium
10,'Master Degree or Equivalent',39.5,high
1,'Master Degree or Equivalent',21,low
1,'Associate Degree or Short-cycle Tertiary Education',39.5,low
18,'Bachelor Degree or Equivalent',39.5,high
4,'Bachelor Degree or Equivalent',29.5,low
9,'Associate Degree or Short-cycle Tertiary Education',39.5,high
7,'Bachelor Degree or Equivalent',29.5,medium
5,'Bachelor Degree or Equivalent',29.5,high
10,'Secondary Education',39.5,medium
12,'Bachelor Degree or Equivalent',39.5,low
7,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',49.5,high
20,'Master Degree or Equivalent',39.5,low
9,'Primary Education',29.5,high
16,'Master Degree or Equivalent',39.5,high
48,?,70,medium
10,'Bachelor Degree or Equivalent',29.5,high
13,'Master Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,low
6,'Professional Degree',29.5,medium
2,'Master Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',39.5,medium
23,'Associate Degree or Short-cycle Tertiary Education',49.5,high
0,'Associate Degree or Short-cycle Tertiary Education',21,low
8,'Bachelor Degree or Equivalent',39.5,low
15,'Bachelor Degree or Equivalent',29.5,medium
7,'Bachelor Degree or Equivalent',29.5,medium
23,'Associate Degree or Short-cycle Tertiary Education',39.5,high
3,'Bachelor Degree or Equivalent',21,low
8,'Bachelor Degree or Equivalent',29.5,medium
31,'Associate Degree or Short-cycle Tertiary Education',49.5,high
11,'Master Degree or Equivalent',39.5,low
15,'Master Degree or Equivalent',29.5,medium
0,'Secondary Education',29.5,high
9,'Bachelor Degree or Equivalent',29.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
8,'Master Degree or Equivalent',29.5,medium
